Артикул,Товар,Категория,Подкатегория,Цена за штуку,Цена за упаковку,Цена за коробку,Кол-во в упаковке,Кол-во в коробке
17184,"Контейнер круглый 500 мл., Упакс Высота 101.6 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,30,1500,30000,50,1000
17121,Крышка к контейнеру 179*132 мм.,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,20,1000,10000,50,500
17122,"Контейнер прозрачный 500 мл., 179*132*34.4 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,28,1400,14000,50,500
17123,"Контейнер прозрачный 750 мл., 179*132*51.8 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,30,1500,15000,50,500
17124,"Контейнер прозрачный 1000 мл., 179*132*61.9 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,38,1900,19000,50,500
17125,"Контейнер прозрачный 1500 мл., 179*132*98 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,44,2200,22000,50,500
17126,"Контейнер прозрачный 2000 мл., 179*132*122 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,46,2300,23000,50,500
17127,"Контейнер черный 500 мл., 179*132*34.4 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,28,1400,14000,50,500
17128,"Контейнер черный 750 мл., 179*132*51.8 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,30,1500,15000,50,500
17129,"Контейнер черный 1000 мл., 179*132*61.9 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,37,1850,18500,50,500
17133,Крышка к контейнеру Аке Пласт,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,12,1200,6000,100,500
17134,"Контейнер 500 мл., прозрачный Аке пласт, 179*132 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,21,2100,10500,100,500
17135,"Контейнер 750 мл., прозрачный Аке пласт, 186*132 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,23,2300,11500,100,500
