Артикул,Товар,Категория,Подкатегория,Цена за штуку,Цена за упаковку,Цена за коробку,Кол-во в упаковке,Кол-во в коробке
17229,Емкость РК-21 ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,39,4680,18720,120,480
17258,Емкость РК-22 Высота внутренняя: 80 мм.,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,75,6525,19575,87,261
17280,Емкость РК-22 ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,78,5460,16380,70,210
17285,Емкость РК-22 КОМУС,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,75,75,12000,1,160
17259,Емкость РК-25 Высота внутренняя: 59.5 мм.,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,125,20000,40000,160,320
17260,Емкость РК-25КВ Высота внутренняя: 81 мм.,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,115,115,29900,1,260
17284,Емкость РК-25 КВ ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,87,4350,13050,50,150
17281,Емкость РК-25 НК ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,87,4350,13050,50,150
17261,Емкость РК-34 Высота внутренняя: 77 мм.,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,54,5832,34992,108,648
17270,Емкость РК-34 ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,42,5040,20160,120,480
17282,Емкость РК-34 КОМУС,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,40,40,15200,1,380
17262,Емкость ПРК-27 (ПЭТ) Высота внутренняя: 85 мм.,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,65,65,21450,1,330
17278,Емкость ПР-К-27 Р-ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,47,7896,15792,168,336
17263,Емкость ПРК-30-Н Высота внутренняя: 65 мм.,БЕЗ КАТЕГОРИИ,Разное,85,19040,38080,224,448
17264,Емкость ПРК-30-С3 Мультипак Высота внутренняя: 65 мм.,БЕЗ КАТЕГОРИИ,Разное,66,15840,31680,240,480
17268,Емкость ПРК-30-С3 Протэк Высота внутренняя: 65 мм.,БЕЗ КАТЕГОРИИ,Разное,76,76,27360,1,360
17279,Емкость ПРК-30 С4 ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,53,3975,15900,75,300
17286,Емкость РК-30С4,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,100,100,35000,1,350
17269,Емкость РК-065 ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,33,3960,15840,120,480
17265,Емкость РКС-250 для горячего и холодного,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,40,40,16000,1,400
17287,Емкость РКС-250 ПЭТ для холодного и горячего,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,25,25,10500,1,420
17266,Емкость РКС-350 для горячего и холодного,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,39,4875,14625,125,375
17288,Емкость РКС-350 ПЭТ для горячего и холодного,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,26,26,10920,1,420
17291,"Емкость РКС-350, мультипак",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,30,2460,17220,82,574
17267,Емкость РКС-500 для горячего и холодного,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,43,5160,15480,120,360
17289,Емкость РКС-500 ПЭТ для горячего и холодного,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,27,27,11340,1,420
17290,"Емкость РКС-500, мультипак",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,32,2496,17472,78,546
17292,Емкость РКС-750 ПЭТ для горячего и холодного,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,39,39,11700,1,300
17271,Емкость СпК-1907 для клаб-сэндвичей,ОДНОРАЗОВАЯ УПАКОВКА,БУМАЖНЫЕ КОНТЕЙНЕРЫ,40,2200,28000,55,700
17272,Емкость СпК-1908 для клаб-сэндвичей,ОДНОРАЗОВАЯ УПАКОВКА,БУМАЖНЫЕ КОНТЕЙНЕРЫ,42,3360,20160,80,480
17277,"Упаковка лоток для яиц УК 25, 10 ячеек, 248*101*65 мм.",БЕЗ КАТЕГОРИИ,Разное,45,5625,45,125,1
17276,"Контейнер пластиковый УК-26А01, лоток для перепелиных яиц",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,39,39,21840,1,560
17293,"Контейнер УК-500, 156*129*55 мм",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,70,70,23100,1,330
18005,"Лоток 28, 225*150*30 мм., белый",БЕЗ КАТЕГОРИИ,Разное,20,5000,20000,250,1000
18029,"Ланч-бокс LBS-1, 195*210*70 мм., белый",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,26,2600,26,100,1
18001,"Ланч-бокс 81 LB, 247*206*70 мм., белый",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,40,5200,40,130,1
18002,"Ланч-бокс 81 LB, 247*206*70 мм., черный",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,40,5200,40,130,1
18003,"Ланч-бокс 2-х секционный 82 LB, белый, 247*206*70 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,28,3640,28,130,1
18006,"Ланч-бокс 2-х секционный 82 LB, черный, 247*206*70 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,40,5200,40,130,1
18004,"Ланч-бокс 83 LB, белый, 247*206*70 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,33,4290,33,130,1
18007,"Ланч-бокс 83 LB, черный, 247*206*70 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,40,5200,40,130,1
18027,"Контейнер С-19 для суши, 165*110*44 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,39,2730,16380,70,420
18030,"Крышка к контейнеру С19 для суши, 165*110*44 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,48,3360,20160,70,420
18008,"Упаковка для суши Крышка С-020, 201*71*14 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,105,105,58800,1,560
18009,"Упаковка для суши Емкость дно С-020 черная, 201*71*14 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,90,90,50400,1,560
18031,"Крышка к контейнеру С25 для суши, 212*140*45 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,74,5550,22200,75,300
18028,"Контейнер С-25 для суши, 212*140*45 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,79,5925,23700,75,300
18011,"Ланч-бокс Спк 258 для курицы гриль, 258*202*48 мм. Крышка",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,100,100,6000,1,60
18010,"Ланч-бокс Спк 258 для курицы гриль, 258*202*48 мм. Крышка Дно",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,116,116,6960,1,60
18021,"Крышка к Ланч-боксу СпК-257, 257*202*35 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,55,1650,6600,30,120
18022,"Ланч-бокс черный, СпК-257 для курицы гриль, 257*202*35 мм.",ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,55,55,6600,1,120
18025,"Крышка к Ланч-боксу 3х секционный СпК-2573, 257*202*35 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,66,1980,19800,30,300
18026,"Ланч-бокс СпК-257-3 3х секционный черный, 257*202*37 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,71,2130,21300,30,300
18032,Суши бокс мини с делением,ОДНОРАЗОВАЯ УПАКОВКА,ПЛАСТИКОВЫЕ КОНТЕЙНЕРЫ,50,2500,20000,50,400
19001,"Крышка алюминий- картон к контейнеру 490 мл., 150*120 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,9,1125,9000,125,1000
19002,"Алюминиевый контейнер (касалетка), 490 мл., 150*120*46 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,31,3875,31000,125,1000
19003,"Крышка алюминий- картон, к контейнеру 865 мл., 210*106 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,20,2500,20000,125,1000
19004,"Алюминиевый контейнер (касалетка), 865 мл., 212*110*57 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,51,5100,51000,100,1000
19005,"Kрышка алюминий- картон к контейнеру 1000 мл., 218*155 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,13,1625,13000,125,1000
19006,"Алюминиевый контейнер (касалетка), 1000 мл., 218*155*38 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,62,7750,62000,125,1000
19028,"Крышка алюминийкартон к контейнеру 1040 мл., 220*170*100 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,25,12500,25000,500,1000
19029,"Алюминиевый контейнер (касалетка), 1040 мл., 225*175 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,99,49500,99000,500,1000
19007,"Крышка алюминий- картон к контейнеру 1900 мл., 260*190 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,28,3500,14000,125,500
19008,"Алюминиевый контейнер (касалетка), 1900 мл., 260*190*60 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,155,19375,77500,125,500
19009,"Крышка алюминий- картон к контейнеру 2235 мл., 315*200 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,31,3100,12400,100,400
19010,"Алюминиевый контейнер (касалетка), 2235 мл., 315*200*48 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,109,10900,43600,100,400
19011,"Крышка алюминиевая к контейнеру 3180 мл., 322*260*65 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,110,11000,11000,100,100
19012,"Алюминиевый контейнер (касалетка), 3180 мл., 322*260*65 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,155,15500,15500,100,100
19013,"Крышка алюминиевая к контейнеру 4300 мл., 370*270*80 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,145,14500,14500,100,100
19014,"Алюминиевый контейнер (касалетка), 4300 мл., 370*270*80 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,260,26000,26000,100,100
19026,"Крышка к алюминий- картон к контейнеру 1400 мл., 350*135*55 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,26,3250,13000,125,500
19027,"Алюминиевый контейнер (касалетка) для рыбы 1400 мл., 350*135*55 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,89,11125,44500,125,500
19030,"Крышка алюминиевая к контейнеру 2-х секц. 840 мл., 225*170 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,19,2375,9500,125,500
19031,"Алюминиевый контейнер (касалетка), 2-х секц. 840 мл., 225*170*42 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,89,11125,44500,125,500
19015,"Форма алюминиевая «Кастрюля» с крышкой, 252*160*98 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,240,6000,36000,25,150
19016,"Форма алюминиевая «Кастрюля» с крышкой 3200 мл., 292*185*108 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,409,10225,40900,25,100
19017,"Форма алюминиевая «Кастрюля» с крышкой 4800 мл., 338*200*120 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,550,13750,55000,25,100
19018,"Форма алюминиевая «Кастрюля» с крышкой 7100 мл., 390*290*115 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,750,18750,37500,25,50
19032,"Блюдо алюминиевое глубокое, 4000 мл., 380*265*55 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,255,255,25500,1,100
19019,"Блюдо алюминиевое глубокое 6000 мл., 465*345*84 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,600,600,30000,1,50
19020,"Блюдо алюминиевое глубокое 7000 мл., 450*360*85 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,450,450,22500,1,50
19021,"Блюдо алюминиевое круглое 800 мл., 241*28 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,50,5000,10000,100,200
19022,"Блюдо алюминиевое овальное, 255*177*14 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,70,70,10500,1,150
19023,"Блюдо алюминиевое овальное, 344*246*18 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,200,200,20000,1,100
19024,"Блюдо алюминиевое овальное, 430*288*19 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,333,333,33300,1,100
19025,"Блюдо алюминиевое овальное, 546*362*16 мм.",ОДНОРАЗОВАЯ УПАКОВКА,АЛЮМИНИЕВЫЕ КОНТЕЙНЕРЫ,550,550,27500,1,50
20001,Ведро 155 мл.,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,50,50,45000,1,900
2000101,Крышка для ведра 155 мл.,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,18,18,16200,1,900
20002,Банка 250 мл.,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,59,59,41300,1,700
2000201,Крышка для банки 250 мл.,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,32,32,22400,1,700
20003,"Ведро 800 мл., прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,64,64,7680,1,120
2000301,"Крышка для веда 800 мл., прозрачное",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,18,18,2160,1,120
20004,Крышка для ведер 550850 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,16,16,1920,1,120
20013,Ведро 550 мл. без крышки,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,36,36,3600,1,100
20012,"Крышка ведра 0,55-0,85 л., (TS-5.5-8.5) прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,14,14,1400,1,100
20016,"Ведро 0,55 л., (TS-5.5) прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,40,40,4000,1,100
20023,"Ведро 280 мл., прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,50,50,28000,1,560
20024,"Крышка ведра 280 мл., прозрачная",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,25,25,28000,1,1120
20014,Крышка ведра TS-10 прозрачная (для TS-8),ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,21,21,2100,1,100
20015,"Ведро 800 мл. (TS-8) прозрачное, без крышки",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,52,52,5200,1,100
20020,"Ведро 1000 мл. (TS-1,0) прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,68,68,6800,1,100
20022,Ведро прозрачное полипропиленовое с ручкой и крышкой 1 л,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,82,8200,24600,100,300
20004,Крышка для ведер 550850 мл.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,16,1920,3840,120,240
20006,"Ведро 850 мл., прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,73,8760,17520,120,240
20012,"Крышка ведра 0,55-0,85 л., (TS-5.5-8.5) прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,14,14,1400,1,100
20019,"Ведро 0,85 л (TS-8.5) прозрачный (без крышки)",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,61,61,6100,1,100
20008,"Ведро 1000 мл., d-122 мм., прозрачное с крышкой",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,100,1500,15000,15,150
20009,"Ведро 2300 мл., с крышкой, прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,210,11550,210,55,1
20017,"Крышка ведра 2,3 (TS- 2.3)",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,39,39,39,1,1
20018,"Ведро 2,3 л (TS-2.3), прозрачный (без крышки)",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,150,6000,150,40,1
20010,"Ведро 3000 мл., прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,220,8800,220,40,1
2001001,Крышка для ведра 3000 мл.,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,63,2520,63,40,1
20011,"Ведро 5000 мл., прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,380,15200,380,40,1
2001101,"Крышка для ведра 5000 мл.,",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,75,3000,75,40,1
20025,"Ведро 5000 мл., белое",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,380,15200,380,40,1
2002501,"Крышка для ведра 5000 мл.,",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,74,2960,74,40,1
20021,"Ведро 5000 мл., с крышкой , прозрачное",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,400,16000,400,40,1
21010,"Бутылка 200 мл., с широким горлом, прозрачная с крышкой",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,44,4400,44,100,1
21001,"Бутылка 300 мл., с широким горлом, прозрачная с крышкой, КРУГЛАЯ",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,44,4400,44,100,1
21005,"Бутылка 300 мл., с широким горлом, прозрачная с крышкой, КВАДРАТНАЯ",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,44,4400,44,100,1
21002,"Бутылка 500 мл., с широким горлом, прозрачная с крышкой, КРУГЛАЯ",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,45,4500,45,100,1
21006,"Бутылка 500 мл., с широким горлом, прозрачная с крышкой, КВАДРАТНАЯ",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,45,4500,45,100,1
21011,"Бутылка 500 мл., с узким горлом, прозрачная с крышкой",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,0,0,0,100,1
21015,"Бутылка 500 мл., с широким горлом, белая матовая",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,54,5400,54,100,1
21003,"Бутылка 1000 мл., с широким горлом, прозрачная с крышкой",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,52,5200,52,100,1
21012,"Бутылка с узким горлом, прозрачная с крышкой 1000 мл.",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,52,52,52,1,1
21013,"Бутылка с узким горлом, прозрачная с крышкой 1500 мл.",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,53,53,53,1,1
21008,"Бутылка с узким горлом, прозрачная с крышкой 2000 мл.",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,54,5400,54,100,1
21009,"Бутылка с узким горлом, прозрачная с крышкой 2000 мл. 3000 мл",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,165,6930,165,42,1
21019,"Бутылка с узким горлом, прозрачная с крышкой 3000 мл 5000 мл.",ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,165,6930,165,42,1
21014,Крышка на бутылку с Широким горлом,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,13,1300,13,100,1
21016,Крышка на бутылку с Широким горлом,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,6,600,6,100,1
21017,Крышка на бутылку с Узким горлом,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,6.3,630,6.3,100,1
21021,"Баночка 150 мл, шестигранник",БЕЗ КАТЕГОРИИ,Разное,82,820,82,10,1
21022,"Баночка цилиндр 250 мл.,",БЕЗ КАТЕГОРИИ,Разное,82,820,82,10,1
21023,350 мл.,БЕЗ КАТЕГОРИИ,Разное,0,0,0,1,1
21024,"Баночка бочонок 250 мл.,",БЕЗ КАТЕГОРИИ,Разное,0,0,0,1,1
21025,500 мл.,БЕЗ КАТЕГОРИИ,Разное,82,820,82,10,1
21026,"Баночка 250 мл., медведь",БЕЗ КАТЕГОРИИ,Разное,82,820,82,10,1
21027,"Баночка 500 мл., шарик",БЕЗ КАТЕГОРИИ,Разное,82,820,82,10,1
22001,Емкость ИП-52 для пирогов Диаметр: 205 мм. Высота: 53 мм.,БЕЗ КАТЕГОРИИ,Разное,96,96,14400,1,150
22051,Емкость ИП-52 для тортов Диаметр:207 мм. Высота: 110 мм.,ОДНОРАЗОВАЯ УПАКОВКА,БУМАЖНЫЕ КОНТЕЙНЕРЫ,95,95,14250,1,150
22006,Емкость ИП-52 Р-ПЭТ для пирогов,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,78,9750,19500,125,250
22002,Крышка ПР-Т-55 для пирогов прозрачная Диаметр: 207 мм.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,67,67,12864,1,192
22003,Дно ПР-Т-55 для пирогов белое Диаметр: 207 мм.,БЕЗ КАТЕГОРИИ,Разное,90,90,17280,1,192
22004,Крышка ИП-225 для пирогов прозрачная Диаметр: 225 мм. Высота: 41 мм.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,108,108,23760,1,220
22014,Крышка ИП-225 для тортов прозрачная Диаметр: 225 мм. Высота: 95 мм.,ОДНОРАЗОВАЯ УПАКОВКА,БУМАЖНЫЕ КОНТЕЙНЕРЫ,138,138,30360,1,220
22005,Дно ИП-225 для пирогов белое Диаметр: 225 мм.,БЕЗ КАТЕГОРИИ,Разное,89,89,19580,1,220
2200501,Дно ИП-225 для пирогов коричневое Диаметр: 225 мм.,БЕЗ КАТЕГОРИИ,Разное,80,80,17600,1,220
22008,Емкость ТРК-239 для пирогов прозрачная Диаметр: 237 мм. Высота: 50 мм.,БЕЗ КАТЕГОРИИ,Разное,118,118,20060,1,170
22007,Емкость ТРК-239 ПЭТ,ОДНОРАЗОВАЯ УПАКОВКА,ВЕДРА И БУТЫЛКИ,99,7920,15840,80,160
22009,Крышка УК-285 для пирогов прозрачная Диаметр: 230 мм. Высота: 50 мм.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,153,153,39780,1,260
22010,Дно УК-285 для пирогов коричневое Диаметр: 230 мм.,БЕЗ КАТЕГОРИИ,Разное,83,83,21580,1,260
22011,Крышка ПР-Т-265 для пирогов прозрачная Диаметр: 266 мм.,ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,128,128,12800,1,100
22012,Дно ПР-Т-265 для пирогов белое Диаметр: 266 мм.,БЕЗ КАТЕГОРИИ,Разное,132,132,13200,1,100
22013,Крышка ПР-Т-55 для тортов прозрачная Диаметр: 207 мм. Высота: 80 мм.,ОДНОРАЗОВАЯ УПАКОВКА,БУМАЖНЫЕ КОНТЕЙНЕРЫ,100,100,19200,1,192
